Pt1,Ru1,Co1,Ni1,Cu1,Pt2,Ru2,Co2,Ni2,Cu2,Pt3,Ru3,Co3,Ni3,Cu3,label_ads,E_ads
0,0,0,1,3,1,0,0,0,3,0,0,0,0,3,1,-0.4845237
0,3,1,0,0,0,2,0,2,0,0,0,3,0,0,1,-0.6538237
0,0,1,0,3,2,0,2,0,0,0,0,2,0,1,1,-0.3557537
3,0,0,1,0,0,0,1,1,2,0,0,1,1,1,1,-0.3655037
2,0,2,0,0,0,0,0,2,2,1,0,1,0,1,1,-0.4144337
1,0,1,2,0,0,3,1,0,0,1,0,1,1,0,1,-0.4683437
0,3,0,1,0,2,0,0,0,2,1,0,0,1,1,1,-0.6357837
0,2,2,0,0,2,0,0,2,0,0,1,1,1,0,1,-0.6098537
0,1,1,1,1,0,0,1,1,2,0,1,1,1,0,1,-0.5913637
0,1,1,0,2,3,1,0,0,0,0,1,1,0,1,1,-0.5525337
0,0,3,1,0,1,0,0,1,2,1,0,0,1,1,1,-0.6117037
0,0,2,2,0,2,1,1,0,0,1,1,0,1,0,1,-0.5550937
0,0,2,1,1,1,0,0,2,1,1,0,1,0,1,1,-0.5039837
0,0,1,2,1,0,1,1,0,2,0,1,1,1,0,1,-0.4715037
0,0,1,1,2,3,0,1,0,0,0,0,1,1,1,1,-0.4903637
3,1,0,0,0,0,2,1,1,0,0,0,1,2,0,1,-0.3296237
1,3,0,0,0,2,0,0,2,0,0,0,2,1,0,1,-0.4436937
1,1,0,0,2,1,2,0,1,0,0,0,0,2,1,1,-0.4556837
1,0,0,0,3,0,1,0,3,0,1,2,0,0,0,1,-0.3989537
0,0,1,0,3,0,0,1,3,0,0,2,1,0,0,1,-0.3720337
2,0,2,0,0,1,1,1,1,0,0,2,0,1,0,1,-0.3343337
0,0,1,2,1,0,1,2,1,0,0,2,0,0,1,1,-0.4896837
0,0,0,3,1,1,2,0,0,1,2,1,0,0,0,1,-0.5197937
0,0,1,3,0,1,0,1,0,2,1,0,0,1,1,1,-0.6161137
2,0,0,2,0,0,0,0,2,2,0,2,0,0,1,1,-0.4160937
0,0,1,2,1,0,2,1,0,1,0,0,2,0,1,1,-0.5298637
2,0,1,1,0,0,0,1,0,3,0,0,1,1,1,1,-0.3886737
2,0,0,2,0,2,1,1,0,0,0,1,2,0,0,1,-0.3334637
0,1,1,0,2,0,1,1,0,2,0,1,1,1,0,1,-0.5950637
1,0,2,1,0,2,2,0,0,0,0,1,2,0,0,1,-0.4047937
0,0,0,2,2,0,0,2,1,1,1,0,2,0,0,1,-0.5884437
3,0,0,0,1,0,0,4,0,0,0,0,0,3,0,1,-0.3103437
2,0,0,1,1,1,0,1,1,1,2,0,1,0,0,1,-0.3621437
0,1,2,1,0,2,1,0,1,0,0,3,0,0,0,1,-0.6309937
0,3,0,1,0,1,0,0,3,0,1,1,0,0,1,1,-0.6874237
1,0,2,0,1,3,1,0,0,0,0,0,2,0,1,1,-0.3364337
1,0,1,1,1,0,0,3,0,1,0,0,0,1,2,1,-0.4791137
0,0,1,0,3,1,0,1,2,0,0,0,2,0,1,1,-0.3755337
0,1,3,0,0,0,1,3,0,0,2,0,0,1,0,1,-0.6979537
0,0,0,3,1,0,2,0,1,1,1,0,0,2,0,1,-0.5421137
2,0,0,1,1,1,0,1,1,1,3,0,0,0,0,1,-0.3985837
1,0,1,2,0,3,0,0,0,1,1,0,0,2,0,1,-0.4518537
0,0,0,1,3,1,0,0,2,1,0,1,0,2,0,1,-0.3646337
0,0,4,0,0,0,1,0,2,1,0,0,0,3,0,1,-0.6051237
